srvName,zoneName,recName,recType,recValue
dnssrv1,foo.com,www,A,100.0.3.0
dnssrv1,bar.com,www,A,100.0.4.0
dnssrv1,bar.com,www,A,100.0.4.1
dnssrv2,foobar.com,www,CNAME,www.bar.com
dnssrv1,acme.com,lla,A,100.100.0.1
dnssrv1,acme.com,llb,A,100.100.0.2
dnssrv1,foo000.com,www,NS,llba.acme.com
dnssrv1,foo000.com,www,NS,llbb.acme.com
dnssrv1,bar000.com,www,A,100.0.2.0
dnssrv1,foo001.com,www,NS,llba.acme.com
dnssrv1,foo001.com,www,NS,llbb.acme.com
dnssrv1,bar001.com,www,A,100.0.2.2
dnssrv1,foo002.com,www,NS,llba.acme.com
dnssrv1,foo002.com,www,NS,llbb.acme.com
dnssrv1,bar002.com,www,A,100.0.2.4
dnssrv1,foo003.com,www,NS,llba.acme.com
dnssrv1,foo003.com,www,NS,llbb.acme.com
dnssrv1,bar003.com,www,A,100.0.2.6
dnssrv1,foo004.com,www,NS,llba.acme.com
dnssrv1,foo004.com,www,NS,llbb.acme.com
dnssrv1,bar004.com,www,A,100.0.2.8
dnssrv1,foo005.com,www,NS,llba.acme.com
dnssrv1,foo005.com,www,NS,llbb.acme.com
dnssrv1,bar005.com,www,A,100.0.2.10
dnssrv1,foo006.com,www,NS,llba.acme.com
dnssrv1,foo006.com,www,NS,llbb.acme.com
dnssrv1,bar006.com,www,A,100.0.2.12
dnssrv1,foo007.com,www,NS,llba.acme.com
dnssrv1,foo007.com,www,NS,llbb.acme.com
dnssrv1,bar007.com,www,A,100.0.2.14
dnssrv1,foo008.com,www,NS,llba.acme.com
dnssrv1,foo008.com,www,NS,llbb.acme.com
dnssrv1,bar008.com,www,A,100.0.2.16
dnssrv1,foo009.com,www,NS,llba.acme.com
dnssrv1,foo009.com,www,NS,llbb.acme.com
dnssrv1,bar009.com,www,A,100.0.2.18
dnssrv1,foo010.com,www,NS,llba.acme.com
dnssrv1,foo010.com,www,NS,llbb.acme.com
dnssrv1,bar010.com,www,A,100.0.2.20
dnssrv1,foo011.com,www,NS,llba.acme.com
dnssrv1,foo011.com,www,NS,llbb.acme.com
dnssrv1,bar011.com,www,A,100.0.2.22
dnssrv1,foo012.com,www,NS,llba.acme.com
dnssrv1,foo012.com,www,NS,llbb.acme.com
dnssrv1,bar012.com,www,A,100.0.2.24
dnssrv1,foo013.com,www,NS,llba.acme.com
dnssrv1,foo013.com,www,NS,llbb.acme.com
dnssrv1,bar013.com,www,A,100.0.2.26
dnssrv1,foo014.com,www,NS,llba.acme.com
dnssrv1,foo014.com,www,NS,llbb.acme.com
dnssrv1,bar014.com,www,A,100.0.2.28
dnssrv1,foo015.com,www,NS,llba.acme.com
dnssrv1,foo015.com,www,NS,llbb.acme.com
dnssrv1,bar015.com,www,A,100.0.2.30
dnssrv1,foo016.com,www,NS,llba.acme.com
dnssrv1,foo016.com,www,NS,llbb.acme.com
dnssrv1,bar016.com,www,A,100.0.2.32
dnssrv1,foo017.com,www,NS,llba.acme.com
dnssrv1,foo017.com,www,NS,llbb.acme.com
dnssrv1,bar017.com,www,A,100.0.2.34
dnssrv1,foo018.com,www,NS,llba.acme.com
dnssrv1,foo018.com,www,NS,llbb.acme.com
dnssrv1,bar018.com,www,A,100.0.2.36
dnssrv1,foo019.com,www,NS,llba.acme.com
dnssrv1,foo019.com,www,NS,llbb.acme.com
dnssrv1,bar019.com,www,A,100.0.2.38
dnssrv1,foo020.com,www,NS,llba.acme.com
dnssrv1,foo020.com,www,NS,llbb.acme.com
dnssrv1,bar020.com,www,A,100.0.2.40
dnssrv1,foo021.com,www,NS,llba.acme.com
dnssrv1,foo021.com,www,NS,llbb.acme.com
dnssrv1,bar021.com,www,A,100.0.2.42
dnssrv1,foo022.com,www,NS,llba.acme.com
dnssrv1,foo022.com,www,NS,llbb.acme.com
dnssrv1,bar022.com,www,A,100.0.2.44
dnssrv1,foo023.com,www,NS,llba.acme.com
dnssrv1,foo023.com,www,NS,llbb.acme.com
dnssrv1,bar023.com,www,A,100.0.2.46
dnssrv1,foo024.com,www,NS,llba.acme.com
dnssrv1,foo024.com,www,NS,llbb.acme.com
dnssrv1,bar024.com,www,A,100.0.2.48
