name,memory,cores
jeexxx01,2048,4
jeexxx02,2048,4
jeexxx03,2048,4
jeexxx04,2048,4
jeetest0000,4092,2
jeetest0001,4092,2
jeetest0002,8192,8
jeetest0003,8192,8
jeetest0004,4092,2
jeetest0005,4092,2
jeetest0006,8192,8
jeetest0007,8192,8
jeetest0008,4092,2
jeetest0009,4092,2
jeetest0010,8192,8
jeetest0011,8192,8
jeetest0012,4092,2
jeetest0013,4092,2
jeetest0014,8192,8
jeetest0015,8192,8
jeetest0016,4092,2
jeetest0017,4092,2
jeetest0018,8192,8
jeetest0019,8192,8
jeetest0020,4092,2
jeetest0021,4092,2
jeetest0022,8192,8
jeetest0023,8192,8
jeetest0024,4092,2
jeetest0025,4092,2
jeetest0026,8192,8
jeetest0027,8192,8
jeetest0028,4092,2
jeetest0029,4092,2
jeetest0030,8192,8
jeetest0031,8192,8
jeetest0032,4092,2
jeetest0033,4092,2
jeetest0034,8192,8
jeetest0035,8192,8
jeetest0036,4092,2
jeetest0037,4092,2
jeetest0038,8192,8
jeetest0039,8192,8
jeetest0040,4092,2
jeetest0041,4092,2
jeetest0042,8192,8
jeetest0043,8192,8
jeetest0044,4092,2
jeetest0045,4092,2
jeetest0046,8192,8
jeetest0047,8192,8
jeetest0048,4092,2
jeetest0049,4092,2
jeetest0050,8192,8
jeetest0051,8192,8
jeetest0052,4092,2
jeetest0053,4092,2
jeetest0054,8192,8
jeetest0055,8192,8
jeetest0056,4092,2
jeetest0057,4092,2
jeetest0058,8192,8
jeetest0059,8192,8
jeetest0060,4092,2
jeetest0061,4092,2
jeetest0062,8192,8
jeetest0063,8192,8
jeetest0064,4092,2
jeetest0065,4092,2
jeetest0066,8192,8
jeetest0067,8192,8
jeetest0068,4092,2
jeetest0069,4092,2
jeetest0070,8192,8
jeetest0071,8192,8
jeetest0072,4092,2
jeetest0073,4092,2
jeetest0074,8192,8
jeetest0075,8192,8
jeetest0076,4092,2
jeetest0077,4092,2
jeetest0078,8192,8
jeetest0079,8192,8
jeetest0080,4092,2
jeetest0081,4092,2
jeetest0082,8192,8
jeetest0083,8192,8
jeetest0084,4092,2
jeetest0085,4092,2
jeetest0086,8192,8
jeetest0087,8192,8
jeetest0088,4092,2
jeetest0089,4092,2
jeetest0090,8192,8
jeetest0091,8192,8
jeetest0092,4092,2
jeetest0093,4092,2
jeetest0094,8192,8
jeetest0095,8192,8
jeetest0096,4092,2
jeetest0097,4092,2
jeetest0098,8192,8
jeetest0099,8192,8
